         505017 function calls (481555 primitive calls) in 84.998 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      7/2    0.000    0.000    0.072    0.036 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      7/2    0.000    0.000    0.071    0.035 <frozen importlib._bootstrap>:911(_load_unlocked)
      6/2    0.000    0.000    0.070    0.035 <frozen importlib._bootstrap_external>:1020(exec_module)
     20/4    0.000    0.000    0.068    0.017 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      6/2    0.000    0.000    0.068    0.034 {built-in method builtins.exec}
     2003    0.004    0.000    0.066    0.000 utils.py:374(_text_width)
        1    0.000    0.000    0.063    0.063 context.py:70(RLock)
     2005    0.015    0.000    0.063    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.061    0.061 synchronize.py:1(<module>)
        7    0.000    0.000    0.059    0.008 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.058    0.058 <frozen importlib._bootstrap_external>:1318(create_module)
        1    0.058    0.058    0.058    0.058 {built-in method _imp.create_dynamic}
        4    0.000    0.000    0.052    0.013 Clip.py:95(fl)
        4    0.000    0.000    0.052    0.013 decorators.py:10(outplace)
        3    0.000    0.000    0.052    0.017 <decorator-gen-61>:1(set_make_frame)
        2    0.000    0.000    0.052    0.026 Clip.py:190(fx)
        2    0.000    0.000    0.052    0.026 VideoClip.py:484(fl_image)
        3    0.006    0.002    0.052    0.017 VideoClip.py:636(set_make_frame)
     8661    0.013    0.000    0.052    0.000 tools.py:69(cvsecs)
   106495    0.031    0.000    0.047    0.000 utils.py:375(<genexpr>)
        6    0.000    0.000    0.042    0.007 subprocess.py:816(__init__)
        6    0.000    0.000    0.040    0.007 subprocess.py:1448(_execute_child)
        6    0.037    0.006    0.037    0.006 {built-in method _winapi.CreateProcess}
     8662    0.032    0.000    0.036    0.000 tools.py:60(is_string)
        1    0.000    0.000    0.031    0.031 Clip.py:500(__exit__)
        1    0.000    0.000    0.031    0.031 VideoFileClip.py:123(close)
        1    0.000    0.000    0.030    0.030 resize.py:61(resize)
     1525    0.030    0.000    0.030    0.000 {built-in method numpy.frombuffer}
     1501    0.025    0.000    0.025    0.000 crop.py:53(<lambda>)
     2836    0.017    0.000    0.024    0.000 {built-in method builtins.sorted}
        3    0.001    0.000    0.024    0.008 ffmpeg_reader.py:188(close)
     3972    0.023    0.000    0.023    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      667    0.001    0.000    0.023    0.000 utils.py:386(disp_trim)
        1    0.000    0.000    0.022    0.022 crop.py:1(crop)
       24    0.019    0.001    0.020    0.001 shape_base.py:220(vstack)
   104492    0.016    0.000    0.016    0.000 {built-in method unicodedata.east_asian_width}
