         8381846 function calls (8245540 primitive calls) in 14.821 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.296    0.049 _helper.py:180(_get_instance)
        1    0.000    0.000    0.296    0.296 _requests.py:303(_create_instance)
        1    0.000    0.000    0.295    0.295 common.py:252(_make_sslcontext)
        1    0.000    0.000    0.295    0.295 _helper.py:114(make_ssl_context)
        1    0.000    0.000    0.295    0.295 _helper.py:24(ssl_load_certs)
        1    0.295    0.295    0.295    0.295 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      971    0.001    0.000    0.278    0.000 _utils.py:2597(update_url_query)
        7    0.006    0.001    0.277    0.040 YoutubeDL.py:3902(render_formats_table)
      971    0.007    0.000    0.276    0.000 _utils.py:2576(update_url)
      157    0.002    0.000    0.272    0.002 _video.py:3776(process_language)
  1846515    0.259    0.000    0.259    0.000 {method 'isspace' of 'str' objects}
    108/6    0.001    0.000    0.245    0.041 <frozen importlib._bootstrap>:1349(_find_and_load)
    106/6    0.001    0.000    0.244    0.041 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        7    0.000    0.000    0.239    0.034 YoutubeDL.py:3748(run_all_pps)
     91/6    0.001    0.000    0.238    0.040 <frozen importlib._bootstrap_external>:1020(exec_module)
     90/4    0.001    0.000    0.238    0.060 <frozen importlib._bootstrap>:911(_load_unlocked)
   202/10    0.005    0.000    0.236    0.024 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     4985    0.011    0.000    0.234    0.000 _utils.py:4661(format_field)
5304/5302    0.068    0.000    0.234    0.000 traversal.py:38(traverse_obj)
     92/4    0.003    0.000    0.232    0.058 {built-in method builtins.exec}
26385/24661    0.063    0.000    0.224    0.000 {method 'join' of 'str' objects}
     14/5    0.000    0.000    0.219    0.044 YoutubeDL.py:182(wrapper)
        1    0.000    0.000    0.211    0.211 YoutubeDL.py:3240(process_info)
        1    0.000    0.000    0.199    0.199 YoutubeDL.py:629(__init__)
      975    0.038    0.000    0.180    0.000 parse.py:978(urlencode)
5660/5337    0.012    0.000    0.164    0.000 traversal.py:290(_traverse_obj)
968977/968942    0.144    0.000    0.160    0.000 {built-in method builtins.isinstance}
