         4409 function calls (4402 primitive calls) in 1.123 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 connectionpool.py:175(__init__)
        1    0.000    0.000    0.000    0.000 response.py:916(read)
        1    0.000    0.000    0.000    0.000 sessions.py:390(__init__)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1578(_cookies_from_attrs_set)
        1    0.000    0.000    0.000    0.000 utils.py:114(proxy_bypass)
        1    0.000    0.000    0.000    0.000 utils.py:204(get_netrc_auth)
        4    0.000    0.000    0.000    0.000 cookiejar.py:983(set_ok_verifiability)
        1    0.000    0.000    0.000    0.000 adapters.py:546(request_url)
        7    0.000    0.000    0.000    0.000 sessions.py:61(merge_setting)
        6    0.000    0.000    0.000    0.000 structures.py:40(__init__)
        2    0.000    0.000    0.000    0.000 request.py:2495(getproxies_environment)
        8    0.000    0.000    0.000    0.000 <frozen _collections_abc>:979(update)
        4    0.000    0.000    0.000    0.000 cookiejar.py:726(is_third_party)
        3    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        1    0.000    0.000    0.000    0.000 feedparser.py:472(_parse_headers)
        2    0.000    0.000    0.000    0.000 response.py:864(_raw_read)
        4    0.000    0.000    0.000    0.000 traversal.py:251(apply_path)
        2    0.000    0.000    0.000    0.000 cookiejar.py:232(http2time)
        1    0.000    0.000    0.000    0.000 error.py:5(__init__)
        3    0.000    0.000    0.000    0.000 adapters.py:202(__init__)
        1    0.000    0.000    0.000    0.000 _collections.py:240(__init__)
       34    0.000    0.000    0.000    0.000 __init__.py:174(search)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1486(_cookie_from_cookie_tuple)
        1    0.000    0.000    0.000    0.000 request.py:2741(getproxies)
       28    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
      368    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        9    0.000    0.000    0.000    0.000 connection.py:355(putheader)
        1    0.000    0.000    0.000    0.000 models.py:483(prepare_headers)
        1    0.000    0.000    0.000    0.000 models.py:610(prepare_cookies)
       11    0.000    0.000    0.000    0.000 queue.py:140(put)
        1    0.000    0.000    0.000    0.000 cookies.py:140(get_cookie_header)
        8    0.000    0.000    0.000    0.000 cookiejar.py:620(request_host)
        1    0.000    0.000    0.000    0.000 _collections.py:335(extend)
        2    0.000    0.000    0.000    0.000 client.py:1029(send)
        1    0.000    0.000    0.000    0.000 error.py:58(construct_error_object)
        3    0.000    0.000    0.000    0.000 cookies.py:35(__init__)
